"course_id","student_index","timing","question","value"
82294927,71,"Post","Manage",0
82294927,71,"Post","Policy",0
82294927,71,"Post","IDK",0
82294927,72,"Pre","Predict",0
82294927,72,"Pre","Decision",0
82294927,72,"Pre","Understanding",0
82294927,72,"Pre","Manage",0
82294927,72,"Pre","Policy",0
82294927,72,"Pre","IDK",1
82294927,72,"Post","Predict",1
82294927,72,"Post","Decision",0
82294927,72,"Post","Understanding",0
82294927,72,"Post","Manage",0
82294927,72,"Post","Policy",0
82294927,72,"Post","IDK",0
82294927,73,"Pre","Predict",1
82294927,73,"Pre","Decision",0
82294927,73,"Pre","Understanding",0
82294927,73,"Pre","Manage",0
82294927,73,"Pre","Policy",0
82294927,73,"Pre","IDK",0
